
:Description: 
:Desc_PDOS: Projected density of states for each orbital. Unit=states/eV
:Desc_FERMI_LEVEL: Fermi level energy. Unit=eV
:Desc_BROADENING: Gaussian broadening parameter for DOS calculation. Unit=eV
:Desc_GRID_POINTS: Number of energy grid points for PDOS calculation
:Desc_MIN_E: Minimum energy for PDOS calculation. Unit=eV
:Desc_MAX_E: Maximum energy for PDOS calculation. Unit=eV
:Desc_BAND_NUM: Number of bands included in the calculation
:Desc_KPT_NUM: Number of k-points used in the calculation
:Desc_ATOM_TYPE_NUM: Number of atom types in the system
:Desc_TOT_ORBITALS: Total number of atomic orbitals
:Desc_PROJ_ORBITALS: Total number of projected orbitals
:Desc_VOLUME: Lattice unit cell volume. Unit=Bohr^3
:Desc_CALCULATION_TIME: Total calculation time. Unit=seconds
:Desc_M_INDEX_SUMMED_OVER: Whether the m index is summed over 
:Desc_ORTHOGONALIZE_ATOMIC_ORBITALS: Whether the atomic orbitals are orthogonalized
:Desc_ATOM_INDEX_FOR_PDOS: The index of the atom for which the PDOS is calculated
:Desc_PDOS_INFO: The information of the PDOS
    :Desc_ATOM_TYPE: The type of the atom
    :Desc_ATOMIC_NUMBER: The atomic number of the atom
    :Desc_ATOM_INDEX: The index of the atom
    :Desc_ATOM_POSITION_CARTESIAN: The position of the atom in Cartesian coordinates
    :Desc_ATOM_POSITION_FRACTIONAL: The fractional position of the atom
    :Desc_PDOS_UNIT: The unit of the PDOS value
    :Desc_HEADER_FORMAT: The format of the header


:BASIC_INFO:
:FERMI_LEVEL: 0.696
:BROADENING: 0.272
:GRID_POINTS: 1000
:MIN_E: -0.774
:MAX_E: 17.706
:BAND_NUM: 12
:KPT_NUM: 1
:ATOM_TYPE_NUM: 1
:TOT_ORBITALS: 16
:PROJ_ORBITALS: 16
:VOLUME: 448.293
:CALCULATION_TIME: 0.374
:M_INDEX_SUMMED_OVER: False
:ORTHOGONALIZE_ATOMIC_ORBITALS: False
:ATOM_INDEX_FOR_PDOS: All



:PDOS_INFO:
    :ATOM_TYPE: Al
    :ATOMIC_NUMBER: 13
    :ATOM_INDEX: 0
    :ATOM_POSITION_CARTESIAN: [0. 0. 0.]
    :ATOM_POSITION_FRACTIONAL: [0. 0. 0.]
    :PDOS_UNIT: states/eV
    :HEADER_FORMAT: (nl,m)
	Energy(eV)   	(3s, m=0)    	(3p, m=-1)   	(3p, m=0)    	(3p, m=1)   
	1.0943177593 	0.4873190324 	0.1177196440 	0.1177210333 	0.1177201879
	1.1128168043 	0.3980266387 	0.0909162606 	0.0909173726 	0.0909166959
	1.1313158492 	0.3221043538 	0.0695696598 	0.0695705405 	0.0695700046
	1.1498148941 	0.2582657056 	0.0527453143 	0.0527460047 	0.0527455846
	1.1683139390 	0.2051741191 	0.0396217433 	0.0396222789 	0.0396219529
	1.1868129840 	0.1614968679 	0.0294896056 	0.0294900169 	0.0294897667
	1.2053120289 	0.1259480130 	0.0217465336 	0.0217468462 	0.0217466560
	1.2238110738 	0.0973204766 	0.0158890088 	0.0158892441 	0.0158891009
	1.2423101187 	0.0745079859 	0.0115024210 	0.0115025963 	0.0115024897
	1.2608091637 	0.0565180424 	0.0082502557 	0.0082503849 	0.0082503063
	1.2793082086 	0.0424773180 	0.0058631532 	0.0058632476 	0.0058631901
	1.2978072535 	0.0316309878 	0.0041283905 	0.0041284587 	0.0041284172
	1.3163062984 	0.0233374882 	0.0028801558 	0.0028802046 	0.0028801749
	1.3348053434 	0.0170600838 	0.0019908424 	0.0019908770 	0.0019908560
	1.3533043883 	0.0123564551 	0.0013634634 	0.0013634877 	0.0013634729
	1.3718034332 	0.0088673188 	0.0009252003 	0.0009252172 	0.0009252069
	1.3903024781 	0.0063048744 	0.0006220335 	0.0006220451 	0.0006220380
	1.4088015231 	0.0044416696 	0.0004143596 	0.0004143675 	0.0004143627
	1.4273005680 	0.0031002859 	0.0002734808 	0.0002734861 	0.0002734828
	1.4457996129 	0.0021440896 	0.0001788388 	0.0001788424 	0.0001788402
	1.4642986578 	0.0014691624 	0.0001158731 	0.0001158754 	0.0001158740
	1.4827977028 	0.0009974299 	0.0000743856 	0.0000743872 	0.0000743862
	1.5012967477 	0.0006709353 	0.0000473131 	0.0000473141 	0.0000473135
	1.5197957926 	0.0004471617 	0.0000298167 	0.0000298173 	0.0000298169
	1.5382948375 	0.0002952801 	0.0000186175 	0.0000186180 	0.0000186177
	1.5567938825 	0.0001931922 	0.0000115179 	0.0000115181 	0.0000115180
	1.5752929274 	0.0001252364 	0.0000070600 	0.0000070602 	0.0000070601
	1.5937919723 	0.0000804373 	0.0000042877 	0.0000042878 	0.0000042878
	1.6122910172 	0.0000511882 	0.0000025801 	0.0000025801 	0.0000025801
	1.6307900622 	0.0000322751 	0.0000015382 	0.0000015383 	0.0000015383
	1.6492891071 	0.0000201628 	0.0000009087 	0.0000009087 	0.0000009087
	1.6677881520 	0.0000124802 	0.0000005318 	0.0000005318 	0.0000005318
	1.6862871970 	0.0000076538 	0.0000003084 	0.0000003084 	0.0000003084
	1.7047862419 	0.0000046507 	0.0000001772 	0.0000001772 	0.0000001772
	1.7232852868 	0.0000027999 	0.0000001009 	0.0000001009 	0.0000001009
	1.7417843317 	0.0000016702 	0.0000000569 	0.0000000569 	0.0000000569
	1.7602833767 	0.0000009871 	0.0000000318 	0.0000000318 	0.0000000318
